Vértice: 457, Pai: -1, Nível: -1
Vértice: 458, Pai: -1, Nível: -1
Vértice: 459, Pai: -1, Nível: -1
Vértice: 460, Pai: -1, Nível: -1
Vértice: 461, Pai: -1, Nível: -1
Vértice: 462, Pai: -1, Nível: -1
Vértice: 463, Pai: -1, Nível: -1
Vértice: 464, Pai: 46895, Nível: 3
Vértice: 465, Pai: -1, Nível: -1
Vértice: 466, Pai: -1, Nível: -1
Vértice: 467, Pai: -1, Nível: -1
Vértice: 468, Pai: -1, Nível: -1
Vértice: 469, Pai: -1, Nível: -1
Vértice: 470, Pai: -1, Nível: -1
Vértice: 471, Pai: -1, Nível: -1
Vértice: 472, Pai: 16783, Nível: 3
Vértice: 473, Pai: -1, Nível: -1
Vértice: 474, Pai: -1, Nível: -1
Vértice: 475, Pai: -1, Nível: -1
Vértice: 476, Pai: -1, Nível: -1
Vértice: 477, Pai: -1, Nível: -1
Vértice: 478, Pai: -1, Nível: -1
Vértice: 479, Pai: -1, Nível: -1
Vértice: 480, Pai: -1, Nível: -1
Vértice: 481, Pai: -1, Nível: -1
Vértice: 482, Pai: -1, Nível: -1
Vértice: 483, Pai: -1, Nível: -1
Vértice: 484, Pai: -1, Nível: -1
Vértice: 485, Pai: -1, Nível: -1
Vértice: 486, Pai: -1, Nível: -1
Vértice: 487, Pai: -1, Nível: -1
Vértice: 488, Pai: -1, Nível: -1
Vértice: 489, Pai: -1, Nível: -1
Vértice: 490, Pai: -1, Nível: -1
Vértice: 491, Pai: -1, Nível: -1
Vértice: 492, Pai: -1, Nível: -1
Vértice: 493, Pai: -1, Nível: -1
Vértice: 494, Pai: -1, Nível: -1
Vértice: 495, Pai: -1, Nível: -1
Vértice: 496, Pai: -1, Nível: -1
Vértice: 497, Pai: 13486, Nível: 3
Vértice: 498, Pai: 40999, Nível: 2
Vértice: 499, Pai: -1, Nível: -1
Vértice: 500, Pai: 33361, Nível: 4
Vértice: 501, Pai: -1, Nível: -1
Vértice: 502, Pai: -1, Nível: -1
Vértice: 503, Pai: -1, Nível: -1
Vértice: 504, Pai: -1, Nível: -1
Vértice: 505, Pai: -1, Nível: -1
Vértice: 506, Pai: -1, Nível: -1
Vértice: 507, Pai: -1, Nível: -1
Vértice: 508, Pai: -1, Nível: -1
Vértice: 509, Pai: -1, Nível: -1
Vértice: 510, Pai: -1, Nível: -1
Vértice: 511, Pai: -1, Nível: -1
Vértice: 512, Pai: -1, Nível: -1
Vértice: 513, Pai: -1, Nível: -1
Vértice: 514, Pai: -1, Nível: -1
